material,thickness,unit,part number,sheet size,sheet area
MS,20,GA,-,-,
MS,18,GA,-,-,
MS,16,GA,X9905-0008-02,4' x 8',4608
MS,14,GA,X9901-0010-02,4' x 8',4608
MS,12,GA,X9901-0012-08,5' x 10',7200
MS,10,GA,X9901-0014-08,5' x 10',7200
MS,3/16,"""",X9901-0018-08,5' x 10',7200
MS,1/4,"""",X9901-0020-07,5' x 10',7200
MS,3/8,"""",X9901-0024-07,5' x 10',7200
MS,1/2,"""",X9901-0028-07,5' x 10',7200
304,20,GA,X9902-0005-07,4' x 10',5760
304,18,GA,X9902-0006-A7,5' x 10',7200
304,16,GA,X9902-0008-07,5' x 10',7200
304,14,GA,X9902-0010-07,5' x 10',7200
304,12,GA,X9902-0012-07,5' x 10',7200
304,10,GA,X9902-0014-07,5' x 10',7200
304,3/16,"""",X9902-0018-07,5' x 10',7200
304,1/4,"""",X9902-0020-07,5' x 10',7200
304,3/8,"""",X9902-0024-07,5' x 10',7200
304,1/2,"""",X9902-0028-07,5' x 10',7200
316,20,GA,-,-,
316,18,GA,X9904-0006-08,5' x 10',7200
316,16,GA,X9904-0008-08,5' x 10',7200
316,14,GA,X9904-0010-08,5' x 10',7200
316,12,GA,X9904-0012-08,5' x 10',7200
316,10,GA,X9904-0014-08,5' x 10',7200
316,3/16,"""",X9904-0018-08,5' x 10',7200
316,1/4,"""",X9904-0020-08,5' x 10',7200
316,3/8,"""",X9904-0024-08,,
316,1/2,"""",X9904-0028-02,4' x 8',4608
409,20,GA,-,-,
409,18,GA,-,-,
409,16,GA,-,-,
409,14,GA,X9903-0010-08,5' x 10',7200
409,12,GA,X9903-0012-08,5' x 10',7200
409,10,GA,X9903-0014-08,5' x 10',7200
409,3/16,"""",X9903-0018-08,5' x 10',7200
409,1/4,"""",X9903-0020-08,5' x 10',7200
409,3/8,"""",-,-,
409,1/2,"""",-,-,
